Commune,Canton
Chiasso,TI
Chiggiogna,TI
Chigny,VD
Chippis,VS
Chironico,TI
Choulex,GE
Chur,GR
Churwalden,GR
Cimadera,TI
Cimo,TI
Clarmont,VD
Claro,TI
Clavaleyres,BE
Clos du Doubs,JU
Clugin,GR
Coeuve,BE
Coeuve,JU
Coffrane,NE
Coglio,TI
Coinsins,VD
Coldrerio,TI
Collex-Bossy,GE
Collina d'Oro,TI
Collombey-Muraz,VS
Collonge-Bellerive,GE
Collonges,VS
Cologny,GE
Colombier (NE),NE
Colombier (VD),VD
Comano,TI
Combremont-le-Grand,VD
Combremont-le-Petit,VD
Commugny,VD
Comologno,TI
Concise,VD
Confignon,GE
Constantine,VD
Conters im Pratigau,GR
Conters im Prattigau,GR
Conthey,VS
Contone,TI
Coppet,VD
Corban,BE
Corban,JU
Corbeyrier,VD
Corbières,FR
Corcelles (BE),BE
Corcelles-Cormondrèche,NE
Corcelles-le-Jorat,VD
Corcelles-près-Concise,VD
Corcelles-près-Payerne,VD
Corcelles-sur-Chavornay,VD
Cordast,FR
Corgemont,BE
Corippo,TI
Corjolens,FR
Cormagens,FR
Cormerod,FR
Corminboeuf,FR
Cormoret,BE
Cornaux,NE
Cornol,BE
Cornol,JU
Corpataux,FR
Corpataux-Magnedens,FR
Correvon,VD
Corsalettes,FR
Corseaux,VD
Corserey,FR
Corsier (GE),GE
Corsier-sur-Vevey,VD
Cortaillod,NE
Cortebert,BE
Corticiasca,TI
Corzoneso,TI
Cossonay,VD
Cottens (FR),FR
Cottens (VD),VD
Courchapoix,BE
Courchapoix,JU
Courchavon,BE
Courchavon,JU
Courfaivre,BE
Courfaivre,JU
Courgenay,BE
Courgenay,JU
Courgevaux,FR
Courlevon,FR
Cournillens,FR
Courrendlin,BE
Courrendlin,JU
Courroux,BE
Courroux,JU
Court,BE
Courtaman,FR
Courtedoux,BE
Courtedoux,JU
Courtelary,BE
Courtemaiche,BE
Courtemaiche,JU
Courtepin,FR
Courtetelle,BE
Courtetelle,JU
Courtion,FR
Coussiberle,FR
Couvet,NE
Crana,TI
