Commune,Canton
Schonenwerd,SO
Schongau,LU
Schonholzerswilen,TG
Schotz,LU
Schubelbach,SZ
Schupfart,AG
Schupfen,BE
Schupfheim,LU
Schwaderloch,AG
Schwadernau,BE
Schwanden (GL),GL
Schwanden bei Brienz,BE
Schwandi,GL
Schwarzenbach,LU
Schwarzenberg,LU
Schwarzenburg,BE
Schwarzhausern,BE
Schweizersholz,TG
Schwellbrunn,AR
Schwende,AI
Schwendibach,BE
Schwerzenbach,ZH
Schwyz,SZ
Scuol,GR
Scuol/Schuls,GR
Sedeilles,VD
Seeberg,BE
Seedorf (BE),BE
Seedorf (UR),UR
Seegraben,ZH
Seehof,BE
Seelisberg,UR
Seengen,AG
Seewen,SO
Seewis im Pratigau,GR
Seewis im Prattigau,GR
Seftigen,BE
Seigneux,VD
Seiry,FR
Seleute,BE
Seleute,JU
Selkingen,VS
Selma,GR
Seltisberg,BL
Selzach,SO
Sembrancher,VS
Sementina,TI
Semione,TI
Sempach,LU
Sempachersee,LU
Semsales,FR
Senarclens,VD
Senèdes,FR
Sennwald,SG
Sent,GR
Seon,AG
Sergey,VD
Serravalle,TI
Servion,VD
Sessa,TI
Seuzach,ZH
Sevaz,FR
Sevelen,SG
Severy,VD
Sevgein,GR
Siat,GR
Siblingen,SH
Siegershausen,TG
Sierre,VS
Sigirino,TI
Siglistorf,AG
Signau,BE
Signy-Avenex,VD
Sigriswil,BE
Sihlsee,SZ
Silenen,UR
Sils im Domleschg,GR
Sils im Engadin/Segl,GR
Silvaplana,GR
Simplon,VS
Sins,AG
Sion,VS
Sirnach,TG
Siselen,BE
Sisikon,UR
Sissach,BL
Sisseln,AG
Sitterdorf,TG
Siviriez,FR
Soazza,GR
Sobrio,TI
Soglio,GR
Solothurn,SO
Someo,TI
Sommentier,FR
Sommeri,TG
Somvix,GR
Sonceboz-Sombeval,BE
Sonogno,TI
Sonterswil,TG
Sonvico,TI
Sonvilier,BE
Sool,GL
Soral,GE
Sorengo,TI
Sorens,FR
Sornetan,BE
Sorvilier,BE
Sottens,VD
Soubey,BE
Soubey,JU
Souboz,BE
Soulce,BE
Soulce,JU
Soyhières,BE
Soyhières,JU
Speicher,AR
Spiez,BE
Spiringen,UR
Splugen,GR
Spreitenbach,AG
St. Antoni,FR
St. Antonien,GR
St. Antonien Ascharina,GR
St. Antonien Castels,GR
St. Antonien Ruti,GR
St. Gallen,SG
St. Gallenkappel,SG
St. Margrethen,SG
St. Martin,GR
St. Moritz,GR
St. Niklaus,VS
St. Peter,GR
St. Peter-Pagig,GR
St. Peterzell,SG
St. Silvester,FR
St. Stephan,BE
St. Ursen,FR
Sta. Maria Val Mustair,GR
Staatswald Galm,FR
Stabio,TI
Stadel,ZH
Stafa,ZH
Staffelbach,AG
Stalden (VS),VS
Staldenried,VS
Stallikon,ZH
Stampa,GR
Stans,NW
Stansstad,NW
Starrkirch-Wil,SO
Staufen,AG
Steckborn,TG
Steffisburg,BE
Steg,VS
Steg-Hohtenn,VS
Stein (AG),AG
Stein (AR),AR
Stein (SG),SG
Stein (Toggenburg),SG
Stein am Rhein,SH
Steinach,SG
Steinen,SZ
Steinerberg,SZ
Steinhaus,VS
Steinhausen,ZG
Steinhof,SO
Steinmaur,ZH
Sternenberg,ZH
Stetten (AG),AG
Stetten (SH),SH
Stettfurt,TG
Stettlen,BE
Stierva,GR
Stilli,AG
Stocken-Hofen,BE
Strada,GR
Strengelbach,AG
Strohwilen,TG
Studen,BE
Studen (BE),BE
Stusslingen,SO
Subingen,SO
Suchy,VD
Sufers,GR
Sugnens,VD
Suhr,AG
Sulgen,TG
Sullens,VD
Sulz (AG),AG
Sulz (LU),LU
Sumiswald,BE
Sumvitg,GR
Sur,GR
Suraua,GR
Surava,GR
Surcasti,GR
Surcuolm,GR
Surpierre,FR
Sursee,LU
Surses,GR
Suscevaz,VD
Susch,GR
Sutz-Lattrigen,BE
Syens,VD
Tafers,FR
Tagerig,AG
Tagerschen,TG
Tagertschi,BE
Tagerwilen,TG
Tamins,GR
Tannay,VD
Tannegg,TG
Tarasp,GR
Tartar,GR
Tartegnin,VD
Tasch,VS
Tauffelen,BE
Tavannes,BE
Tavetsch,GR
Tecknau,BL
Tegerfelden,AG
Tegna,TI
Tenero-Contra,TI
Tenna,GR
Tenniken,BL
Tentlingen,FR
Termen,VS
Terre di Pedemonte,TI
Tersnaus,GR
Tesserete,TI
Teufen (AR),AR
Teufenthal (AG),AG
Teuffenthal (BE),BE
Tevenon,VD
Thal,SG
Thalheim (AG),AG
Thalheim an der Thur,ZH
Thalwil,ZH
Thayngen,SH
Therwil,BL
Thielle-Wavre,NE
Thierachern,BE
Thierrens,VD
Thonex,GE
Thorigen,BE
Thun,BE
Thundorf,TG
Thunersee,BE
Thunstetten,BE
Thurnen,BL
Thusis,GR
Tiefencastel,GR
Tinizong,GR
Tinizong-Rona,GR
Titterten,BL
Tobel,TG
Tobel-Tagerschen,TG
Toffen,BE
Tolochenaz,VD
Tomils,GR
Toos,TG
Torbel,VS
Torny,FR
Torny-le-Grand,FR
Torre,TI
Torricella-Taverne,TI
Trachselwald,BE
Tramelan,BE
Trans,GR
Trasadingen,SH
Travers,NE
Treiten,BE
Trelex,VD
Tremona,TI
Trey,VD
Treycovagnes,VD
Treytorrens (Payerne),VD
Treyvaux,FR
Triboltingen,TG
Triengen,LU
Trient,VS
Trimbach,SO
Trimmis,GR
Trimstein,BE
Trin,GR
Trogen,AR
Troinex,GE
Troistorrents,VS
Trub,BE
Trubschachen,BE
Trullikon,ZH
Trun,GR
Truttikon,ZH
Tschappina,GR
Tscheppach,SO
Tschiertschen,GR
Tschiertschen-Praden,GR
Tschierv,GR
Tschlin,GR
Tschugg,BE
Tubach,SG
Tuggen,SZ
Tujetsch,GR
Tumegl/Tomils,GR
Turbenthal,ZH
Turgi,AG
Turtmann,VS
Turtmann-Unterems,VS
Tuscherz-Alfermee,BE
Tuttwil,TG
Twann,BE
Twann-Tuscherz,BE
Udligenswil,LU
Ueberstorf,FR
Uebeschi,BE
Ueken,AG
Uerkheim,AG
Uerschhausen,TG
Uesslingen,TG
Uesslingen-Buch,TG
Uetendorf,BE
Uetikon,ZH
Uetikon am See,ZH
Uezwil,AG
Uffikon,LU
Ufhusen,LU
Uitikon,ZH
Ulmiz,FR
Ulrichen,VS
Umiken,AG
Undervelier,BE
Undervelier,JU
Unterageri,ZG
Unterbach,VS
Unterbozberg,AG
Untereggen,SG
Unterehrendingen,AG
Unterems,VS
Unterendingen,AG
Unterengstringen,ZH
Unterentfelden,AG
Unteriberg,SZ
Unterkulm,AG
Unterlangenegg,BE
Unterlunkhofen,AG
Unterramsern,SO
Unterschachen,UR
Unterschlatt,TG
Unterseen,BE
Untersiggenthal,AG
Unterstammheim,ZH
Untersteckholz,BE
Untervaz,GR
Uors (Lumnezia),GR
Uors-Peiden,GR
Urdorf,ZH
Urmein,GR
Urnasch,AR
Ursenbach,BE
Ursins,VD
Ursy,FR
Urtenen,BE
Urtenen-Schonbuhl,BE
Uster,ZH
Uttigen,BE
Uttwil,TG
Utzenstorf,BE
Uznach,SG
Uzwil,SG
Vacallo,TI
Vaglio,TI
Val Mustair,GR
Val Terbi,JU
Valangin,NE
Valbirse,BE
Valbroye,VD
Valchava,GR
Valcolla,TI
Val-de-Charmey,FR
Val-de-Ruz,NE
Val-de-Travers,NE
Val-d'Illiez,VS
Valendas,GR
Valeyres-sous-Montagny,VD
Valeyres-sous-Rances,VD
Valeyres-sous-Ursins,VD
Vallamand,VD
Vallon,FR
Vallorbe,VD
Vals,GR
Valsot,GR
Valzeina,GR
Vandoeuvres,GE
Varen,VS
Vauderens,FR
Vauffelin,BE
Vaugondry,VD
Vaulion,VD
Vaulruz,FR
Vaumarcus,NE
Vaumarcus-Verneaz,NE
Vaux-sur-Morges,VD
Vaz/Obervaz,GR
Vechigen,BE
Vella,GR
Vellerat,BE
Vellerat,JU
Veltheim (AG),AG
Vendlincourt,BE
Vendlincourt,JU
Venthone,VS
Verdabbio,GR
Vergeletto,TI
Vermes,BE
Vermes,JU
Vernamiège,VS
Vernate,TI
Vernay,FR
Vernayaz,VS
Vernier,GE
Verossaz,VS
Versam,GR
Verscio,TI
Versoix,GE
Vesin,FR
Vetroz,VS
Vevey,VD
Vex,VS
Veyras,VS
Veyrier,GE
Veysonnaz,VS
Veytaux,VD
Vezia,TI
Vezio,TI
Vich,VD
Vico Morcote,TI
Vicosoprano,GR
Vicques,BE
Vicques,JU
Vierwaldstattersee (LU),LU
Vierwaldstattersee (NW),NW
Vierwaldstattersee (OW),OW
Vierwaldstattersee (SZ),SZ
Vierwaldstattersee (UR),UR
Viganello,TI
Vigens,GR
Vignogn,GR
Villa (GR),GR
Villa Luganese,TI
Villangeaux,FR
Villaraboud,FR
Villaranon,FR
Villarbeney,FR
Villarepos,FR
Villargiroud,FR
Villariaz,FR
Villarimboud,FR
Villarlod,FR
Villars-Bramard,VD
Villars-Burquin,VD
Villars-d'Avry,FR
Villarsel-le-Gibloux,FR
Villarsel-sur-Marly,FR
Villars-Epeney,VD
Villarsiviriaux,FR
Villars-le-Comte,VD
Villars-le-Grand,VD
Villars-le-Terroir,VD
Villars-Lussery,VD
Villars-Mendraz,VD
Villars-Sainte-Croix,VD
Villars-sous-Champvent,VD
Villars-sous-Mont,FR
Villars-sous-Yens,VD
Villars-sur-Glane,FR
Villars-Tiercelin,VD
Villarvolard,FR
Villarzel,VD
Villaz-Saint-Pierre,FR
Villeneuve (FR),FR
Villeneuve (VD),VD
Villeret,BE
Villette (Lavaux),VD
Villiers,NE
Villigen,AG
Villmergen,AG
Villnachern,AG
Villorsonnens,FR
Vilters,SG
Vilters-Wangs,SG
Vinelz,BE
Vinzel,VD
Vionnaz,VS
Vira (Gambarogno),TI
Visp,VS
Visperterminen,VS
Vissoie,VS
Vitznau,LU
Vogorno,TI
Volken,ZH
Volketswil,ZH
Vollèges,VS
Vordemwald,AG
Vorderthal,SZ
Vouvry,VS
Vrin,GR
Vuadens,FR
Vuarmarens,FR
Vuarrens,VD
Vucherens,VD
Vufflens-la-Ville,VD
Vufflens-le-Chateau,VD
Vugelles-La Mothe,VD
Vuibroye,VD
Vuippens,FR
Vuissens,FR
Vuisternens-devant-Romont,FR
Vuisternens-en-Ogoz,FR
Vuiteboeuf,VD
Vulliens,VD
Vullierens,VD
Vully-le-Bas,FR
Vully-le-Haut,FR
Vully-les-Lacs,VD
Wachseldorn,BE
Wadenswil,ZH
Wagenhausen,TG
Wahlen,BE
Wahlen,BL
Wahlern,BE
Walchwil,ZG
Wald (AR),AR
Wald (BE),BE
Wald (ZH),ZH
Waldenburg,BL
Waldi,TG
Waldkirch,SG
Waldstatt,AR
Walensee (GL),GL
Walensee (SG),SG
Walenstadt,SG
Walkringen,BE
Wallbach,AG
Wallenbuch,FR
Wallenried,FR
Wallenwil,TG
Wallisellen,ZH
Walliswil bei Niederbipp,BE
Walliswil bei Wangen,BE
Walperswil,BE
Waltalingen,ZH
Waltensburg/Vuorz,GR
Waltenschwil,AG
Walterswil (BE),BE
Walterswil (SO),SO
Walzenhausen,AR
Wangen (SZ),SZ
Wangen (ZH),ZH
Wangen an der Aare,BE
Wangen bei Olten,SO
Wangen-Bruttisellen,ZH
Wangenried,BE
Wangi,TG
Wanzwil,BE
Wartau,SG
Warth,TG
Warth-Weiningen,TG
Wassen,UR
Wasterkingen,ZH
Wattenwil,BE
Wattwil,SG
Wauwil,LU
Weerswilen,TG
Weesen,SG
Wegenstetten,AG
Weggis,LU
Weiach,ZH
Weinfelden,TG
Weingarten,TG
Weiningen (TG),TG
Weiningen (ZH),ZH
Weisslingen,ZH
Wellhausen,TG
Welschenrohr,SO
Wengi,BE
Wenslingen,BL
Werthenstein,LU
Wettingen,AG
Wettswil,ZH
Wettswil am Albis,ZH
Wetzikon (TG),TG
Wetzikon (ZH),ZH
Wichtrach,BE
Widen,AG
Widnau,SG
Wiedlisbach,BE
Wiesen (GR),GR
Wiesendangen,ZH
Wiezikon,TG
Wiggiswil,BE
Wigoltingen,TG
Wikon,LU
Wil (AG),AG
Wil (SG),SG
Wil (ZH),ZH
Wila,ZH
Wilchingen,SH
Wildberg,ZH
Wilderswil,BE
Wildhaus,SG
Wildhaus-Alt St. Johann,SG
Wilen (TG),TG
Wilen bei Neunforn,TG
Wilen bei Wil,TG
Wiler (Lotschen),VS
Wiler bei Utzenstorf,BE
Wileroltigen,BE
Wiliberg,AG
Wilihof,LU
Willadingen,BE
Willisau,LU
Willisau Land,LU
Willisau Stadt,LU
Willisdorf,TG
Wimmis,BE
Windisch,AG
Winikon,LU
Winistorf,SO
Winkel,ZH
Wintersingen,BL
Winterthur,ZH
Winznau,SO
Wisen (SO),SO
Wislikofen,AG
Wittenbach,SG
Wittenwil,TG
Witterswil,SO
Wittinsburg,BL
Wittnau,AG
Wohlen (AG),AG
Wohlen bei Bern,BE
Wohlenschwil,AG
Wolfenschiessen,NW
Wolfhalden,AR
Wolfisberg,BE
Wolflinswil,AG
Wolfwil,SO
Wolhusen,LU
Wollerau,SZ
Worb,BE
Worben,BE
Wunnewil,FR
Wunnewil-Flamatt,FR
Wuppenau,TG
Wurenlingen,AG
Wurenlos,AG
Wynau,BE
Wynigen,BE
Wyssachen,BE
Yens,VD
Yverdon,VD
Yverdon-les-Bains,VD
Yvonand,VD
Yvorne,VD
Zauggenried,BE
Zaziwil,BE
Zeglingen,BL
Zeihen,AG
Zeiningen,AG
Zell (LU),LU
Zell (ZH),ZH
Zenauva,FR
Zeneggen,VS
Zermatt,VS
Zernez,GR
Zetzwil,AG
Zezikon,TG
Ziefen,BL
Zielebach,BE
Zihlschlacht,TG
Zihlschlacht-Sitterdorf,TG
Zillis-Reischen,GR
Zimmerwald,BE
Zizers,GR
Zofingen,AG
Zollikofen,BE
Zollikon,ZH
Zuben,TG
Zuchwil,SO
Zufikon,AG
Zug,ZG
Zugersee (LU),LU
Zugersee (SZ),SZ
Zugersee (ZG),ZG
Zullwil,SO
Zumholz,FR
Zumikon,ZH
Zunzgen,BL
Zuoz,GR
Zurich,ZH
Zurichsee (SG),SG
Zurichsee (SZ),SZ
Zurichsee (ZH),ZH
Zurzach,AG
Zuzgen,AG
Zuzwil (BE),BE
Zuzwil (SG),SG
Zweisimmen,BE
Zwieselberg,BE
Zwingen,BE
Zwingen,BL
Zwischbergen,VS
